,Name,Type,Code,rho [kg/m^3],E [Pa],G [Pa],sigma_y [Pa],sigma_ult [Pa],K [Pa m^0.5],tau_y [Pa],Cost [euro],,
variable_name_metal,name,type,code,density,e,g,yield_stress,ult_stress,k,tau_y,cost,,
Metal,Aluminium,7075-T6,M1,2810,7.17E+10,2.69E+10,5.03E+08,5.72E+08,2.69E+07,3.31E+08,,,
,Aluminium,7075-O,M2,2810,7.17E+09,2.69E+10,1.03E+08,2.28E+08,2.69E+07,1.52E+08,,,
,Aluminium,6061-T6,M3,2700,6.89E+10,2.60E+10,2.76E+08,3.10E+08,2.90E+07,2.07E+08,,,
,Aluminium,6061-T4,M4,2700,6.89E+10,2.60E+10,1.45E+08,2.41E+08,2.90E+07,1.65E+08,,,
,Steel,High-C,M5,7540,2.00E+11,7.99E+10,8.96E+08,1.12E+09,6.01E+07,,,,
,Steel,Low-C,M6,7600,2.02E+11,7.99E+10,5.19E+08,7.16E+08,6.82E+07,,,,
,Stainless Steel,T300,M7,7850,1.95E+11,7.76E+10,4.21E+08,7.09E+08,,,,,
,Stainless Steel,T600,M8,7930,2.00E+11,,8.48E+08,1.10E+09,,,,,
,Shock Resit Steel,,M9,7750,,8.00E+10,1.50E+09,1.83E+09,,,,,
,Titanium,,M10,4500,1.16E+11,4.30E+10,1.40E+08,2.20E+08,,,,,
,Titanium,Ti-6Al-2Sn-1.5Zr-1Mo-0.35Bi-0.1Ag,M11,4500,1.15E+11,4.39E+10,,,,,,,
,Timetal 35A ,(IMI 115),M12,4510,,,2.46E+08,3.69E+08,,,,,
,Aluminum,356.0-T6,M13,2680,7.24E+10,2.72E+10,1.52E+08,2.28E+08,,,,,
,,,M14,,,,,,,,,,
,,,M15,,,,,,,,,,
,,,M16,,,,,,,,,,
,,,M17,,,,,,,,,,
,,,M18,,,,,,,,,,
,,,M19,,,,,,,,,,
,,,M20,,,,,,,,,,
,Name,Type,Code,rho [g/cc^3],E  0 deg[GPa],E  90 deg[GPa],G [GPa],sigma_y [Pa],sigma_ult [Pa],sigma_cr [Pa],K [Pa m^0.5],tau_y [Pa],Cost [euro]
variable_name_composite,name,type,code,density,e_0,e_90,g,yield_stress,ult_stress,cr_stress,k,tau_y,cost
Composite,Materion AMC225XE T4 Aluminum/Silicon Carbide MMC ,AMC225XE,C1,2.88,1.15E+11,,,4.87E+08,6.90E+08,,,,
,"Cycom C69
Cycom C69",Prepreg for laminates,C2,1.3,1.95E+11,8.20E+09,,,"0 deg - 930, 90 deg - 33",,,,
,CERTAL,EN AW 7022,C3,2.76,7.20E+10,7.20E+10,,400-495E+6,490-555E+6,e,,,
,Duroid,6002,C4,2.1,8.28E+11,,,,6.90E+06,,,,
,,,C5,,,,,,,,,,
,,,C6,,,,,,,,,,
,,,C7,,,,,,,,,,
,,,C8,,,,,,,,,,
,,,C9,,,,,,,,,,
,,,C10,,,,,,,,,,
,,,C11,,,,,,,,,,
,,,C12,,,,,,,,,,
,,,C13,,,,,,,,,,
,,,C14,,,,,,,,,,
,,,C15,,,,,,,,,,
,,,C16,,,,,,,,,,
,,,C17,,,,,,,,,,
,,,C18,,,,,,,,,,
,,,C19,,,,,,,,,,
,,,C20,,,,,,,,,,
